ID,College Name,City,State,NIRF Management Rank 2025,Course Category,Data Status
25,Indian Institute of Management Nagpur,Nagpur,Maharashtra,25,MBA / PGDM,NIRF 2025 verified
26,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,26,MBA / PGDM,NIRF 2025 verified
27,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,27,MBA / PGDM,NIRF 2025 verified
28,Jamia Millia Islamia,New Delhi,Delhi,28,MBA / PGDM,NIRF 2025 verified
29,Indian Institute of Management Visakhapatnam,Visakhapatnam,Andhra Pradesh,29,MBA / PGDM,NIRF 2025 verified
30,"Institute of Management Technology, Ghaziabad",Ghaziabad,Uttar Pradesh,30,MBA / PGDM,NIRF 2025 verified
31,Indian Institute of Management Bodh Gaya,Gaya,Bihar,31,MBA / PGDM,NIRF 2025 verified
32,Chandigarh University,Mohali,Punjab,32,MBA / PGDM,NIRF 2025 verified
33,MICA,Ahmedabad,Gujarat,33,MBA / PGDM,NIRF 2025 verified
34,Indian Institute of Management Sambalpur,Sambalpur,Odisha,34,MBA / PGDM,NIRF 2025 verified
35,Indian Institute of Management Jammu,Jammu,Jammu and Kashmir,35,MBA / PGDM,NIRF 2025 verified
36,UPES,Dehradun,Uttarakhand,36,MBA / PGDM,NIRF 2025 verified
37,Great Lakes Institute of Management,Chennai,Tamil Nadu,37,MBA / PGDM,NIRF 2025 verified
38,Indian Institute of Management Shillong,Shillong,Meghalaya,38,MBA / PGDM,NIRF 2025 verified
39,T. A. Pai Management Institute,Manipal,Karnataka,39,MBA / PGDM,NIRF 2025 verified
40,IMI Delhi,New Delhi,Delhi,40,MBA / PGDM,NIRF 2025 verified
41,Jaipuria Institute of Management,Noida,Uttar Pradesh,41,MBA / PGDM,NIRF 2025 verified
42,IMI Kolkata,Kolkata,West Bengal,42,MBA / PGDM,NIRF 2025 verified
43,Goa Institute of Management,Sanquelim,Goa,43,MBA / PGDM,NIRF 2025 verified
44,Lovely Professional University,Phagwara,Punjab,44,MBA / PGDM,NIRF 2025 verified
45,XIM University,Bhubaneswar,Odisha,45,MBA / PGDM,NIRF 2025 verified
46,Thapar Institute of Engineering and Technology,Patiala,Punjab,46,MBA / PGDM,NIRF 2025 verified
47,"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,46,MBA / PGDM,NIRF 2025 verified
48,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,48,MBA / PGDM,NIRF 2025 verified
49,Amity University,Gautam Budh Nagar,Uttar Pradesh,49,MBA / PGDM,NIRF 2025 verified
50,"Great Lakes Institute of Management, Gurgaon",Gurugram,Haryana,50,MBA / PGDM,NIRF 2025 verified
51,Indian Institute of Management Sirmaur,Sirmaur,Himachal Pradesh,51,MBA / PGDM,NIRF 2025 verified
52,Graphic Era University,Dehradun,Uttarakhand,52,MBA / PGDM,NIRF 2025 verified
53,Nirma University,Ahmedabad,Gujarat,53,MBA / PGDM,NIRF 2025 verified
54,Institute of Rural Management Anand,Anand,Gujarat,54,MBA / PGDM,NIRF 2025 verified
55,Loyola Institute of Business Administration,Chennai,Tamil Nadu,55,MBA / PGDM,NIRF 2025 verified
56,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,56,MBA / PGDM,NIRF 2025 verified
57,Christ University,Bengaluru,Karnataka,57,MBA / PGDM,NIRF 2025 verified
58,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,57,MBA / PGDM,NIRF 2025 verified
59,FORE School of Management,New Delhi,Delhi,59,MBA / PGDM,NIRF 2025 verified
60,Banaras Hindu University,Varanasi,Uttar Pradesh,60,MBA / PGDM,NIRF 2025 verified
61,Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,61,MBA / PGDM,NIRF 2025 verified
62,Malaviya National Institute of Technology Jaipur,Jaipur,Rajasthan,62,MBA / PGDM,NIRF 2025 verified
63,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,63,MBA / PGDM,NIRF 2025 verified
64,Indian Institute of Management Amritsar,Amritsar,Punjab,64,MBA / PGDM,NIRF 2025 verified
65,K. J. Somaiya Institute of Management,Mumbai,Maharashtra,65,MBA / PGDM,NIRF 2025 verified
66,Siksha 'O' Anusandhan,Bhubaneswar,Odisha,66,MBA / PGDM,NIRF 2025 verified
67,Jaipuria Institute of Management Lucknow,Lucknow,Uttar Pradesh,67,MBA / PGDM,NIRF 2025 verified
68,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,68,MBA / PGDM,NIRF 2025 verified
69,Aligarh Muslim University,Aligarh,Uttar Pradesh,69,MBA / PGDM,NIRF 2025 verified
70,Koneru Lakshmaiah Education Foundation University,Vaddeswaram,Andhra Pradesh,70,MBA / PGDM,NIRF 2025 verified
71,Alliance University,Bengaluru,Karnataka,71,MBA / PGDM,NIRF 2025 verified
72,Institute of Management Technology Hyderabad,Hyderabad,Telangana,72,MBA / PGDM,NIRF 2025 verified
73,Jain University,Bengaluru,Karnataka,73,MBA / PGDM,NIRF 2025 verified
74,Jaipuria Institute of Management Jaipur,Jaipur,Rajasthan,74,MBA / PGDM,NIRF 2025 verified
75,Prin. L. N. Welingkar Institute of Management Development and Research,Mumbai,Maharashtra,75,MBA / PGDM,NIRF 2025 verified
76,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,76,MBA / PGDM,NIRF 2025 verified
77,BML Munjal University,Gurugram,Haryana,77,MBA / PGDM,NIRF 2025 verified
78,Chitkara University,Rajpura,Punjab,78,MBA / PGDM,NIRF 2025 verified
79,Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,79,MBA / PGDM,NIRF 2025 verified
80,Thiagarajar School of Management,Madurai,Tamil Nadu,80,MBA / PGDM,NIRF 2025 verified
81,Manipal University Jaipur,Jaipur,Rajasthan,81,MBA / PGDM,NIRF 2025 verified
82,Cochin University of Science and Technology,Kochi,Kerala,82,MBA / PGDM,NIRF 2025 verified
83,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,83,MBA / PGDM,NIRF 2025 verified
84,PSG College of Technology,Coimbatore,Tamil Nadu,84,MBA / PGDM,NIRF 2025 verified
85,National Institute of Technology Calicut,Kozhikode,Kerala,85,MBA / PGDM,NIRF 2025 verified
86,New Delhi Institute of Management,New Delhi,Delhi,86,MBA / PGDM,NIRF 2025 verified
87,Jamia Hamdard,New Delhi,Delhi,87,MBA / PGDM,NIRF 2025 verified
88,Anna University,Chennai,Tamil Nadu,88,MBA / PGDM,NIRF 2025 verified
89,Pandit Deendayal Energy University,Gandhinagar,Gujarat,89,MBA / PGDM,NIRF 2025 verified
90,Jagan Institute of Management Studies,Delhi,Delhi,90,MBA / PGDM,NIRF 2025 verified
91,Rajagiri Business School,Kochi,Kerala,91,MBA / PGDM,NIRF 2025 verified
92,Panjab University,Chandigarh,Chandigarh,92,MBA / PGDM,NIRF 2025 verified
93,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,93,MBA / PGDM,NIRF 2025 verified
94,IMI Bhubaneswar,Bhubaneswar,Odisha,94,MBA / PGDM,NIRF 2025 verified
95,National Institute of Agricultural Extension Management,Hyderabad,Telangana,95,MBA / PGDM,NIRF 2025 verified
96,Bharathidasan Institute of Management,Tiruchirappalli,Tamil Nadu,96,MBA / PGDM,NIRF 2025 verified
97,Birla Institute of Technology,Ranchi,Jharkhand,97,MBA / PGDM,NIRF 2025 verified
98,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,98,MBA / PGDM,NIRF 2025 verified
99,"Institute of Management Technology, Nagpur",Nagpur,Maharashtra,99,MBA / PGDM,NIRF 2025 verified
100,University of Lucknow,Lucknow,Uttar Pradesh,100,MBA / PGDM,NIRF 2025 verified
