rank,college_name,official_url
88,Anna University,https://www.annauniv.edu
89,Pandit Deendayal Energy University,https://www.pdeu.ac.in
90,Jagan Institute of Management Studies,https://www.jimsindia.org
91,Rajagiri Business School,https://www.rajagiribs.com
92,Panjab University,https://www.puchd.ac.in
93,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,https://www.iiitm.ac.in
94,IMI Bhubaneswar,https://www.imibhubaneswar.ac.in
95,National Institute of Agricultural Extension Management,https://www.manage.gov.in
96,Bharathidasan Institute of Management,https://www.bim.edu
97,Birla Institute of Technology,https://www.bitmesra.ac.in
98,Indian Institute of Technology Jodhpur,https://www.iitj.ac.in
99,"Institute of Management Technology, Nagpur",https://www.imtnagpur.ac.in
100,University of Lucknow,https://www.lkouniv.ac.in
